Employee_ID,Attrition_rate
EID_22713,0.1906717335764432
EID_9658,0.17071549395933183
EID_22203,0.1791174052684822
EID_7652,0.18349921788550091
EID_6516,0.19358989236969806
EID_20283,0.18962776905106968
EID_21014,0.18481895973147963
EID_7693,0.18639983525418488
EID_13232,0.19484921917299478
EID_6515,0.1861966407296178
EID_13639,0.18385729266788348
EID_14669,0.19071850252274
EID_16537,0.1953394898824644
EID_5782,0.1792548975246835
EID_20157,0.19209871841370532
EID_1855,0.19095358566493686
EID_20748,0.19537737341487044
EID_23179,0.1833736935452999
EID_12838,0.18136878856807526
EID_21656,0.1910708110656277
EID_8844,0.1911855076391958
EID_1536,0.1910711270111642
EID_8822,0.18511678299735898
EID_11398,0.18841698632455056
EID_12965,0.19894459573791934
EID_5204,0.18920612755063743
EID_10030,0.18958588878593766
EID_13227,0.17778424233565762
EID_20607,0.19042932715041086
EID_14070,0.186355616725975
EID_3755,0.18606859848029553
EID_5459,0.19479864253373153
EID_7697,0.19299338236182853
EID_3935,0.18536465312961095
EID_19046,0.19621505936407707
EID_4040,0.18582603869889125
EID_17730,0.18227578741862008
EID_4995,0.18148074114521687
EID_24653,0.18992599955304024
EID_6978,0.18177229899996233
EID_13775,0.19010753886684048
EID_14608,0.18324587085639168
EID_3148,0.1881591755652636
EID_24868,0.1811782324134565
EID_5521,0.1815725358305113
EID_21155,0.19414278909053892
EID_3840,0.18160576830079528
EID_10646,0.1801737510863841
EID_6711,0.18375480866135158
EID_16247,0.18679048540794962
EID_16789,0.195067832219695
EID_17967,0.17847936574937176
EID_13270,0.19665349805684448
EID_18462,0.18394900182464644
EID_22248,0.18995643845364155
EID_22693,0.18751878439837388
EID_25662,0.19231380872234283
EID_23346,0.1885000743376634
EID_4437,0.1839288160382342
EID_18108,0.18569160649018057
EID_7000,0.17962372509589206
EID_22770,0.19754825443644733
EID_7816,0.18197344860690828
EID_19615,0.19402250844284782
EID_23807,0.18920803841756004
EID_16764,0.1996051036059979
EID_16818,0.1872881836430303
EID_22712,0.18843392583146243
EID_18198,0.19232209533075126
EID_11154,0.1892853912787055
EID_22137,0.18477534915640542
EID_11655,0.1825903121263524
EID_18514,0.19365964475088393
EID_24742,0.18891683015134852
EID_16019,0.18142584031771722
EID_7357,0.18383892718203731
EID_20106,0.18454555171035397
EID_13284,0.19243150035203158
EID_5451,0.1824125400898312
EID_19728,0.19943086633144452
EID_9178,0.18864141528559233
EID_13177,0.1813508430254663
EID_14300,0.19262287133053882
EID_4379,0.18368684567016683
EID_11285,0.18243077796776422
EID_14882,0.19930901101798806
EID_9969,0.18967471455844687
EID_23643,0.1836990683135977
EID_5935,0.19193386835174783
EID_7741,0.18754945463397912
EID_6176,0.19682325156011257
EID_5418,0.18460441544012957
EID_20626,0.19095134400510405
EID_1725,0.18255946019161415
EID_14317,0.18660295109706665
EID_12120,0.19467096045614793
EID_20264,0.18677578882642512
EID_16691,0.18134827339727672
EID_1093,0.17759925409226565
EID_2565,0.17667453703746291
EID_11463,0.19145112600918923
EID_12005,0.18340928400687626
EID_10326,0.19646908044494615
EID_12582,0.18991915859965855
EID_18228,0.1927435919141049
EID_11670,0.19040791237450783
EID_24257,0.18290648620438943
EID_7024,0.18888186351568514
EID_10382,0.18835319115346744
EID_20210,0.19024369791669632
EID_10294,0.18265773341960048
EID_19941,0.19376394195334537
EID_25572,0.18593582522608892
EID_7758,0.1811570231216997
EID_22718,0.1908737151456097
EID_1078,0.18196526474778046
EID_8227,0.18390235212255013
EID_1702,0.18448241342905147
EID_3532,0.18551327895865885
EID_22452,0.1883016133926915
EID_3019,0.1843327531153231
EID_22264,0.19234217519763883
EID_9866,0.18750571985571263
EID_3520,0.18359792222367205
EID_21098,0.18867974975926055
EID_1186,0.18187596046919338
EID_12355,0.18548265917032336
EID_11020,0.18831850693408964
EID_19193,0.1772434130988113
EID_17787,0.18463061074099055
EID_13719,0.18103275245999345
EID_24449,0.19159883246896048
